"time","value","userid"
2019-01-10 00:32:01,78,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:32:06,78,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:32:11,77,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:32:16,76,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:32:21,74,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:32:26,73,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:32:31,71,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:32:36,69,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:32:41,66,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:32:46,65,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:32:51,63,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:32:56,64,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:33:06,63,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:33:11,64,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:33:21,65,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:33:26,64,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:33:31,62,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:33:36,60,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:33:41,59,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:33:46,57,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:33:51,58,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:33:56,56,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:34:02,55,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:34:07,54,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:34:17,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:34:32,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:34:37,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:34:42,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:34:52,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:34:57,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:35:02,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:35:12,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:35:17,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:35:22,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:35:27,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:35:32,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:35:47,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:35:52,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:35:57,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:36:02,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:36:12,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:36:22,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:36:37,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:36:52,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:37:07,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:37:17,53,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:37:32,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:37:42,53,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:37:47,55,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:37:54,54,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:37:59,55,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:38:14,54,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:38:24,53,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:38:29,54,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:38:44,54,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:38:49,53,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:39:04,54,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:39:19,55,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:39:24,54,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:39:39,53,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:39:44,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:39:54,54,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:39:59,53,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:40:14,53,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:40:24,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:40:34,53,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:40:49,53,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:40:59,55,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:41:04,56,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:41:14,55,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:41:24,54,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:41:39,54,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:41:44,53,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:41:54,55,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:42:04,57,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:42:19,56,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
